title,City,Salary,Experience,experience_level,Job Type,functional_area,career_level,skills
Sales Representative - Medical Billing,Rawalpindi,82639.59731543624,2.0,Junior,Full Time,Sales & Business Development,Experienced Professional,"Business Development, End to End Sales, Marketing Skills"
Junior Accountant,Karachi,55000.0,2.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"MS Office, Financial Accounting, Accounts Payments Handling"
Digital Marketing Specialist,Karachi,17500.0,2.783132530120482,Junior,Full Time,Marketing,Entry Level,"Digital Marketing Analysis, Digital Marketing Management, Content Marketing Skills"
Social Media Content Specialist,Islamabad,175000.0,1.0,Entry,Part Time,Marketing,Entry Level,"Content Creation, Social Media Optimization, Content Development, Fluent in English, Copywriting Skills, Graphic Design"
International Sales Agent,Hyderabad,32500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Coordination Skills, Pricing Negotiation Skills, Communication Skills"
Social Media Manager,Faisalabad,82639.59731543624,5.0,Mid,Full Time,Marketing,Experienced Professional,"Communication Skills, Creative Design, Creative Writing"
Junior React / Node.js Engineer,Gujrat,25000.0,1.0,Entry,Full Time,Software & Web Development,Entry Level,"Team Collaboration, RESTful APIs, HTML5, Javascript, NodeJs, React JS, React Native, Redux, Scrum, Docker, Mocha, Git, PostgreSQL"
Social Media Marketing Manager,Rawalpindi,375000.0,2.783132530120482,Junior,Full Time,Marketing,Experienced Professional,"Google Analytics, Google Ads Planning, Google Ads, Meta Ads"
CCTV Surveillance Officer,Islamabad,22500.0,1.0,Entry,Full Time,Security,Entry Level,"IP CCTV Knowledge, Feedback Assessment, Digital Surveillance"
Call Center Agent,Karachi,82639.59731543624,1.0,Entry,Full Time,Telemarketing,Entry Level,"Telemarketing Skills, Handle Outbound Calls, Fluent in English"
Customer Support Representative,Lahore,80000.0,4.0,Mid,Full Time,Client Services & Customer Support,Experienced Professional,"Customer Care Representation, Listening to Customers, Negotiations Skills, Customer Satisfaction Management, Customer Analysis"
Customer Sales Representative,Islamabad,82500.0,1.0,Entry,Full Time,Client Services & Customer Support,Entry Level,"Communication Skills, Customer Care Representation, Fluent in English, Client Dealing"
Graphic Designer,Lahore,45000.0,2.783132530120482,Junior,Full Time,Creative Design,Experienced Professional,"Printing Knowledge, Graphics Editing, Adobe In Design, Corel Draw, Adobe Illustrator"
Sales Assistant,Lahore,47500.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Bank Reconciliation, Accounts Management Skills, End to End Sales"
eCommerce Website Manager,Karachi,27500.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Social Media Post Creation, Automation Tools, Website Content Management, Digital Marketing Tools, E-commerce Platforms Knowledge, Banner Creation, Admin Operations Management, Google Sheets"
Software Developer,Karachi,212500.0,3.0,Junior,Full Time,Software & Web Development,Experienced Professional,"Git, MySQL, CSS, HTML, JScript, PHP, Docker, Linux Network Administration"
Accounts Officer,Islamabad,45000.0,2.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Vendor Relations Management, Record Keeping, Payroll Processing, Data Analytics"
Accountant,Karachi,80000.0,5.0,Mid,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Audit Assignment Handling, Admin Operations Management, General Accounts Management, Bank Reconciliation, Financial Accounting, Fluent in English"
Deputy Sales Manager,Lahore,100000.0,5.0,Mid,Full Time,Sales & Business Development,Department Head,"Communication Skills, B2B Business Development, Email List Management"
Cabin Crew,Islamabad,700000.0,1.0,Entry,Full Time,Client Services & Customer Support,Entry Level,"End  to End Sales, Multitasking Skills, Email List Management, Admin Operations Management"
Social Media Marketing Executive,Lahore,52500.0,2.0,Junior,Full Time,Marketing,Experienced Professional,"Paid Media Management, Social Media Handling, Online Content Creation, Market Research Project Management"
IT Specialist,Other,140000.0,2.783132530120482,Junior,Full Time,Software & Web Development,Department Head,"ASP.net, Javascript, XML, HTML5, CSS3"
Content Marketing Expert,Islamabad,140000.0,2.783132530120482,Junior,Full Time,Marketing,Entry Level,"Content Marketing Skills, Content Optimization, Research Skills, Analytics Skills, Writing Skills, SEO"
SEO / Social Media Marketing Intern,Lahore,32500.0,1.0,Entry,Other,Marketing,Intern/Student,"Creative Social Management, Vendor Relations Management, Software Documentation Maintenance"
Student Counselor,Faisalabad,35000.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Communication Skills, Student Affairs Handling, Student Counseling"
Student Counselor,Lahore,35000.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Communication Skills, Student Affairs Handling, Student Counseling"
Marketing Officer - Social Media,Lahore,82639.59731543624,1.0,Entry,Full Time,Marketing,Entry Level,"Digital Copy Writing, Content Creation, Social Media Hand lining, Canva, Audience Analysis, Trend Awareness, Data Analytics"
Customer Service Officer - English Speaker,Lahore,82500.0,2.0,Junior,Full Time,Client Services & Customer Support,Experienced Professional,"Enterprise Sales, Sales Management Skills, B2B Business Development, Email List Management"
Receptionist / Front Desk Officer,Sialkot,82639.59731543624,2.783132530120482,Junior,Full Time,"Secretarial, Clerical & Front Office",Entry Level,"Fluent in English, Coordination Skills, Appointment Scheduling, Communication Skills, Front Office Support"
Remittance Officer,Karachi,19000.0,2.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Transaction Record, Budgeting Skills, Financial Services, Remittances Handling, Transaction Record Management, Remittance Processing"
Telemarketing Executive,Karachi,47500.0,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Representation Skills, Fluent in English, Lead Generation  Skills"
Online Marketing Executive,Lahore,37500.0,2.783132530120482,Junior,Full Time,Marketing,Entry Level,"Internet Browsing, Admin Operations Management, Communication Skills, eCommerce  SEO"
Customer Sales Representative,Islamabad,125000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Customer Analysis, Customer Acquisition Skills, Customer Satisfaction Management"
Website Content Writer,Lahore,72500.0,1.0,Entry,Full Time,Writer,Entry Level,"Fluent in English, Web Content Production, Creative Writing, Knowledge of Spreadsheets, Business Development Strategies, Content Optimization"
Digital Marketing Coordinator,Karachi,82639.59731543624,1.0,Entry,Full Time,Marketing,Entry Level,"Adobe Photoshop, Adobe Illustrator, Corporate Website Management, Digital Marketing Management, SEO"
SEO Specialist,Lahore,72500.0,2.0,Junior,Full Time,Search Engine Optimization (Seo),Experienced Professional,"eCommerce  SEO, SEM Knowledge, SEO Audits, Search Engine Technology Command, SEMRUSH, Keyword Research Skills, Search Engine Submission, SEO Engine Ranking"
SEO Expert,Lahore,37500.0,2.0,Junior,Full Time,Search Engine Optimization (Seo),Experienced Professional,"Search Engine Submission, Keyword Analysis, SEOMoz, Search Engine Ranking, SEO Audits"
Xray Technician,Islamabad,47500.0,3.0,Junior,Full Time,Maintenance/Repair,Experienced Professional,"Use of Medical Equipment, Analytical Skills, Time Management"
Travel Consultant,Lahore,62500.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Telemarketing  Skills, Travel Arrangements, Sales, Negotiations Skills, Customer Care Representation, Travel Sales"
Sales Executive,Islamabad,82639.59731543624,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Sales Acquisition, Business Development, Communication Skills, Sales Management, Client Dealing"
Server Administrator,Lahore,60000.0,2.0,Junior,Full Time,Computer Networking,Experienced Professional,"Problem Solving Skills, Coordination Skills, Server Management, Communication Skills"
SEO Executive,Lahore,35000.0,2.0,Junior,Full Time,Search Engine Optimization (Seo),Experienced Professional,"SEO Audits, Keyword Research Skills, eCommerce  SEO, SEM Knowledge"
Graphic Designer / Video Editor,Lahore,55000.0,1.0,Entry,Full Time,Creative Design,Entry Level,"Graphics Editing, Video Editing Techniques, Animation Editing"
Senior Electrical Engineer,Peshawar,150000.0,4.0,Mid,Full Time,Engineering,Experienced Professional,"Document Drafting, Communication Skills, Presentation Skills, End To End Project Management, MS Office"
Chemist - NC,Lahore,50000.0,3.0,Junior,Full Time,Industrial Production,Experienced Professional,"Chemical Formulation, Chemical Testing, Communication Skills"
Receptionist / Front Desk Officer,Sialkot,82639.59731543624,2.783132530120482,Junior,Full Time,"Secretarial, Clerical & Front Office",Entry Level,"Fluent in English, Multitasking Skills, Organizational Skills, Communication Skills"
Principal,Islamabad,175000.0,5.0,Mid,Full Time,"Teachers/Education, Training & Development",Experienced Professional,"Educational Assessment, Academic Administration, Interpersonal Leadership"
Assistant Professor Marketing - Faculty of Business Management,Rawalpindi,80000.0,1.0,Entry,Full Time,"Teachers/Education, Training & Development",Entry Level,"Presentation Skills, Principles  Of Marketing, Marketing Skills, Marketing Courses"
People / Culture Assistant - Learning & Development,Islamabad,82639.59731543624,5.0,Mid,Full Time,Operations,Experienced Professional,"Communication Skills, Organizational Management, Coordination Skills"
Business Development Executive,Lahore,82639.59731543624,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"B2B Business Development, Business Development Process, Business Development Strategies"
Customer Sales Representative,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Coordination Skills, Travels Knowledge, Communication Skills, Fluent in English"
Customer Sales Representative,Lahore,37500.0,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Coordination Skills, Travels Knowledge, Communication Skills, Fluent in English"
Textile Designer - Western Wear,Lahore,65000.0,1.0,Entry,Full Time,Creative Design,Entry Level,"Competitor Analysis, Clothing Design, Fabric Awareness, Womens Fashion, Mens Fashion, Fashion Design, Market Trend Research, Pattern Making, Vendor Management Skillls, Merchandising Skills, Digital Marketing Skills"
Truck Dispatcher / Sales Agent,Lahore,52500.0,1.0,Entry,Full Time,Client Services & Customer Support,Entry Level,"Outbound Calls Handling, Dispatch Skills, Communication Skills"
Sales Development Representative,Islamabad,82639.59731543624,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Communication Skills, Client Relations Management, Lead Generation, B2B Business Development, Appointment Scheduling"
PLC Automation Engineer,Karachi,85000.0,2.783132530120482,Junior,Full Time,Engineering,Experienced Professional,"Communication Skills, PLC, Automation Skills"
SEO Specialist,Multan,40000.0,2.783132530120482,Junior,Full Time,Search Engine Optimization (Seo),Experienced Professional,"Search Engine Ranking, Keyword Research Skills, SEO Audits"
Marketing Representative,Karachi,45000.0,1.0,Entry,Full Time,Marketing,Entry Level,"Digital Marketing Management, Brand Management, Digital Marketing Analysis"
Project Manager,Islamabad,125000.0,2.783132530120482,Junior,Full Time,Project Management,Experienced Professional,"Web Project Management, End To End Project Management, Project Plans Management, Project Administration"
Front End Developer - ASP.NET MVC,Lahore,90000.0,4.0,Mid,Full Time,Software & Web Development,Experienced Professional,"RESTful APIs, Javascript, CSS, HTML, MVC 2/3, MVC"
Graphic Designer,Karachi,40000.0,2.0,Junior,Full Time,Creative Design,Experienced Professional,"Adobe Illustrator, Adobe Photoshop, Video Editing Techniques"
PHP / Laravel Developer,Faisalabad,82639.59731543624,3.0,Junior,Full Time,Software & Web Development,Experienced Professional,"Frontend Development, Javascript, Laravel"
Software Engineer - JAVA,Islamabad,82639.59731543624,2.783132530120482,Junior,Full Time,Software & Web Development,Experienced Professional,"Java Web Services, Java Spring Boot, jQuery, Javascript"
Nurse,Other,55000.0,1.0,Entry,Full Time,Health & Medicine,Entry Level,"Communication Skills, Medical Writing, Nurse Practitioner"
Junior Graphic Designer / Animator,Islamabad,82639.59731543624,1.0,Entry,Full Time,Creative Design,Entry Level,"Adobe Illustrator, Adobe Photoshop, Video Editing Techniques"
Regional Internal Auditor,Lahore,82639.59731543624,3.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Audit Reports Management, Audit Management, Internal Audit Transformation, Audit Assignment Handling, Electrical Controls Knowledge"
Internal Auditor,Islamabad,37500.0,3.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Audit Assignment Handling, Audit Reports Management, Internal Financial Reporting, Internal Controls, Electrical Controls Knowledge"
Technical Support Executive,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Entry Level,"Communication Skills, Troubleshooting Skills, Technical Support"
Visa / Tour Consultant,Lahore,47500.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Presentation Skills, Admin Operations Management, Coordination Skills, Consultancy Skills, Communication Skills, Travels Knowledge"
Chemical Engineer,Other,250000.0,3.0,Junior,Full Time,Engineering,Experienced Professional,"Process Operations Handling, Chemical Handling, Projection Design, Chemical Testing"
Sales / Marketing Executive,Gujranwala,40000.0,2.0,Junior,Full Time,Marketing,Experienced Professional,"Sales Management, Communication Skills, Event Marketing Strategies"
Receptionist,Islamabad,25000.0,1.0,Entry,Full Time,"Secretarial, Clerical & Front Office",Entry Level,"Communication Skills, MS Excel, Front Office Support"
WordPress Developer,Other,162500.0,2.783132530120482,Junior,Full Time,Advertising,Experienced Professional,"Javascript, MySQL, jQuery"
Lead Auditor - Corporate Responsibility,Karachi,82639.59731543624,8.0,Senior,Full Time,Corporate And Environmental Compliance,Experienced Professional,"Environment Health Safety Management, Labour Laws, Certified Lead Auditor"
Digital Marketing Expert,Karachi,82639.59731543624,2.783132530120482,Junior,Full Time,Marketing,Experienced Professional,"Online Marketing Analysis, Digital Media  Knowledge, Content Marketing Skills, Digital Marketing Management, Digital Marketing Analysis"
Call Center Agent,Lahore,12500.0,2.783132530120482,Junior,Other,Telemarketing,Intern/Student,"Telemarketing  Skills, Coordination Skills, Communication Skills"
Senior Accountant,Lahore,125000.0,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Admin Operations Management, Communication Skills, Management Accounting, Financial Accounting, Xero"
Google Ads Expert,Lahore,72500.0,2.0,Junior,Full Time,Advertising,Experienced Professional,"Google Analytics, Google Ads Words, Google Ads Planning, Knowledge of Youtube"
Graphic Designer,Lahore,72500.0,2.0,Junior,Full Time,Creative Design,Experienced Professional,"Adobe Illustrator, Adobe Photoshop, Adobe InDesign, Adobe Creative Suite, Graphics Editing"
Shopify Expert,Lahore,72500.0,2.0,Junior,Full Time,Operations,Experienced Professional,"Shopify Account Management, Shopify Theme Management, SEO strategies"
Web Developer,Lahore,72500.0,2.0,Junior,Full Time,Software & Web Development,Experienced Professional,"Website Building, Web Solutions, HTML, Javascript"
Social Media Manager,Lahore,72500.0,2.0,Junior,Full Time,Marketing,Experienced Professional,"Social Advertising, Social Media Strategies, Digital Marketing Management, Marketing Strategies"
Accountant,Lahore,72500.0,2.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Financial Accounting, Accounts Software Command, Accounts Management Skills"
Astrologer / Palmistry Specialist,Islamabad,80000.0,2.783132530120482,Junior,Full Time,Operations,Experienced Professional,"Record Sessions, Host Live Sessions, Numerical Skills"
Junior Accountant,Lahore,65000.0,1.0,Entry,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Ledger Reconciliation, Bookkeeping Knowledge, Close Attention to Detail, Xero"
Import Executive,Lahore,60000.0,2.783132530120482,Junior,Full Time,Import & Export,Experienced Professional,"Team Coordination, Client Dealing, Import Operations Handling"
Chat Support Agent,Lahore,40000.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Entry Level,"Customer Service Skills, Multitasking Skills, Chat Support Skills, Live Chat Handling"
Social Media Marketer,Lahore,82639.59731543624,3.0,Junior,Full Time,Marketing,Experienced Professional,"Video Blogging, Social Media Handling, Knowledge of Youtube, SEO Knowledge, Social Media Optimization"
Senior Asset Management Officer,Islamabad,115000.0,5.0,Mid,Full Time,Sales & Business Development,Experienced Professional,"Asset Management, Key Account Management, MS Excel"
Nurse,Karachi,525000.0,2.783132530120482,Junior,Full Time,Health & Medicine,Experienced Professional,"ICU, Medical Knowledge, Medical Equipment Knowledge"
Junior Accountant,Karachi,52500.0,2.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Admin Operations Management, Bank Reconciliation, Accounts Software Command, Financial Accounting, Payroll Processing, Odoo ERP"
Internal Audit Officer,Karachi,52500.0,2.0,Junior,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Internal Financial Reporting, Internal Controls, Auditing, Financial Statement Auditing, Electrical Controls Knowledge, Internal Audit Transformation, Audit Assignment Handling, Audit Management, Audit Reports Management"
General Practitioner,Islamabad,82639.59731543624,2.0,Junior,Full Time,Health & Medicine,Experienced Professional,"Diagnosis and treatment, Medical Knowledge, Patient Interaction"
Assistant Accounts Manager,Karachi,150000.0,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Accounts Management Skills, Accounts Software Command, Admin Operations Management"
Sales / Marketing Executive,Karachi,37500.0,2.783132530120482,Junior,Full Time,Marketing,Entry Level,"Fluent in English, Market Research, Communication Skills, Sales Management"
Cloud Infrastructure Engineer - GCP,Lahore,82639.59731543624,4.0,Mid,Full Time,Computer Networking,Experienced Professional,"Fintech, Google Cloud Server Knowledge, Microsoft Azure"
Accountant,Other,70000.0,1.0,Entry,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Bank Reconciliation, Record Keeping, Admin Operations Management, Accounts Management Skills"
Call Center Representative,Karachi,62500.0,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Customer Dealing, Fluent in English, Communication Skills"
Management Coordinator,Lahore,100000.0,4.0,Mid,Full Time,Operations,Experienced Professional,"Supervisory Experience, Relations Management Skills, Communication Skills"
Redis / Hazelcast Developer,Islamabad,82639.59731543624,8.0,Senior,Full Time,Software & Web Development,Experienced Professional,"Kubernetes, Redis, Hazelcast"
Graphic Designer,Islamabad,22500.0,5.0,Mid,Full Time,Creative Design,Experienced Professional,"Graphics Editing, Fiver, Canvas, Adobe Photoshop"
Content Writer,Lahore,35000.0,1.0,Entry,Full Time,Writer,Entry Level,"Web Content Production, Creative Writing, Content Optimization, Web Content Creation, Technical Content Production"
Executive Assistant,Lahore,65000.0,2.0,Junior,Full Time,"Secretarial, Clerical & Front Office",Experienced Professional,"Coordination Skills, Presentation Skills, Time Management, Administrative Management, Secretarial Skills"
Chat Support Representative,Karachi,30000.0,1.0,Entry,Full Time,Client Services & Customer Support,Entry Level,"Chat Support Skills, Fluent in English, Composition Knowledge"
Senior WordPress Developer,Lahore,82639.59731543624,5.0,Mid,Full Time,Software & Web Development,Experienced Professional,"PHP, Javascript, PSD to WordPress"
Telesales Executive,Karachi,82639.59731543624,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Negotiations Skills, Communication Skills, Telemarketing Skills"
Customer Service Representative,Sargodha,27500.0,1.0,Entry,Other,Client Services & Customer Support,Entry Level,"Customer Care Representation, Listening to Customers, Communication Skills"
Assistant Manager Admin,Lahore,80000.0,5.0,Mid,Full Time,Administration,Experienced Professional,"Data Management, Vehicle Fuel Management, Administrative Management"
Graphic Designer,Lahore,40000.0,1.0,Entry,Full Time,Creative Design,Entry Level,"Canvas, Graphic Design, Adobe Pro, Adobe Illustrator"
Auditor,Islamabad,37500.0,2.783132530120482,Junior,Part Time,"Accounts, Finance & Financial Services",Experienced Professional,"Audit Assignment Handling, Auditing, Audit Reports Management"
Insurance Eligibility Specialist - RCM,Lahore,80000.0,1.0,Entry,Full Time,Client Services & Customer Support,Entry Level,"Close Attention to Detail, Multitasking Skills, Health Insurance Knowledge, Fluent in English"
Order Taker,Lahore,27500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Communication Skills, Cash Handling, Customer Dealing"
Sales Representative,Lahore,45000.0,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Customer Service Solutions, Sales Management, Communication Skills, Fluent in English"
Sales Representative,Lahore,52500.0,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Communication Skills, Travels Knowledge, Fluent in English"
College Director,Other,400000.0,10.0,Senior,Full Time,Administration,Department Head,"Multitasking Skills, Budgeting Skills, Administrative Management, Interpersonal Leadership, Charismatic Leadership, Communication Skills"
Project Manager,Karachi,82639.59731543624,2.783132530120482,Junior,Full Time,Operations,Entry Level,"Project Management, Admin Tasks Management, Communication Skills"
Export Sales Officer,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Import & Export,Experienced Professional,"International Business Exposure, Market Knowledge, Sales Management, Export  Management"
Inventory Manager,Rawalpindi,40000.0,1.0,Entry,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Inventory System Handling, Inventory Accounting, Inventory Control, Audit Management"
Sales Officer,Karachi,50000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Sales Management, Communication Skills, End to End Sales"
Sales Officer,Karachi,82639.59731543624,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Sales Management, Communication Skills, End to End Sales"
Upwork Bidder,Lahore,82639.59731543624,2.0,Junior,Full Time,Sales & Business Development,Experienced Professional,"Business Development Strategies, Communication Skills, Bidding Strategies"
Territory Sales Manager,Islamabad,85000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Communication Skills, Sales Management, Sales Growth, Relations Management Skills, Territory Management"
Chat Support Agent,Lahore,45000.0,2.0,Junior,Full Time,Client Services & Customer Support,Experienced Professional,"Social Media Chat Support, Fluent in English, Communication Skills"
Cashier / Accountant,Lahore,52500.0,2.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Payroll Process, Accounting, Accounts Management"
Project Sales Manager,Lahore,100000.0,5.0,Mid,Full Time,Sales & Business Development,Experienced Professional,"Sales Management, End to End Sales, Communication Skills"
Assistant Professor - Computer Science,Rawalpindi,82639.59731543624,1.0,Entry,Full Time,"Teachers/Education, Training & Development",Entry Level,"Presentation Skills, Computer Proficient, Communication Skills, Computer Systems Analysis"
Assistant Professor Quantitative Reasoning - Calculus & Analytic Geometry,Rawalpindi,80000.0,1.0,Entry,Full Time,"Teachers/Education, Training & Development",Entry Level,"Presentation Skills, Communication Skills, Analytical Skills, Admin Operations Management"
Branch Manager,Islamabad,37500.0,3.0,Junior,Full Time,Sales & Business Development,Experienced Professional,"تقييم المناهج الدراسية, Currency Exchange, Foreign Exchange Management"
Management Information Systems Coordinator,Karachi,37500.0,1.0,Entry,Full Time,Management Information System (Mis),Entry Level,"MS Excel, Database Management:, Communication Skills, Project Management Skills"
Customer Sales Representative,Lahore,65000.0,1.0,Entry,Full Time,Telemarketing,Entry Level,"Outbound Calls Handling, Fluent in English, Cold  Calling"
Business Development Intern,Lahore,32500.0,2.783132530120482,Junior,Other,Sales & Business Development,Intern/Student,"Business Growth, Business Development Process, Communication Skills"
Truck Dispatcher,Lahore,55000.0,1.0,Entry,Full Time,Client Services & Customer Support,Entry Level,"Communication Skills, Telemarketing  Skills, Fluent in English"
Warehouse Officer,Rawalpindi,40000.0,1.0,Entry,Full Time,Warehousing,Entry Level,"Warehouse Loading, Store Inventory, Warehouse Control"
Call Center Agent,Lahore,70000.0,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Fluent in English, Coordination Skill's, Communication Skills"
Call Center Agent,Lahore,50000.0,3.0,Junior,Full Time,Telemarketing,Experienced Professional,"Listening to Customers, Telemarketing  Skills, Communication Skills"
System Architect,Lahore,82639.59731543624,5.0,Mid,Full Time,Software & Web Development,Experienced Professional,"Custom Software Development, Software Development, Architectural Patterns, Software Design, Solution Architecture"
Store Manager,Lahore,52500.0,7.0,Senior,Full Time,Warehousing,Experienced Professional,"Store Operations  Management, Inventory Control, Inventory Planning Skills"
DAE Mechanical With Fmcg Background,Karachi,82639.59731543624,2.0,Junior,Full Time,Other,Not Specified,"Mechanical Maintenance, Troubleshooting Skills, FMCG Equipment Knowledge"
WordPress,Karachi,65000.0,1.0,Entry,Full Time,Other,Not Specified,"Plugin Development, Yoast SEO, React, jQuery, WordPress Plugin Development, MySQL Database Management, PHP Programming, MySQL, Theme Development, Wordpress Development, Website Optimization, Responsive Design, SEO, Javascript, CSS, HTML, PHP"
Product Manager,Karachi,82639.59731543624,3.0,Junior,Full Time,Other,Not Specified,"Market Research, Agile Methodologies, Communication Skills"
System Architect,Lahore,50000.0,2.0,Junior,Full Time,Other,Not Specified,"System Design, Network Architecture, Database Management, Network Design"
Instrument Technician,Karachi,82639.59731543624,3.0,Junior,Full Time,Other,Not Specified,"instrumentation calibration, Process Control systems, Electrical Wiring, Safety Compliance, Analytical Problem Solving, TESTING AND INSPECTION, Calibration Standards, PLC Programming, Loop Tuning, Data Analysis, Test Equipment Operation"
Showroom Manager,Lahore,82639.59731543624,5.0,Mid,Full Time,Other,Not Specified,"Customer Service, Sales Management, Merchandising, Inventory Control, Team Leadership, Communication Skills, Problem Solving, Time Management, Visual Merchandising, Financial Management"
Data Analyst,Karachi,82639.59731543624,3.0,Junior,Full Time,Other,Not Specified,"Statistical Analysis, Python, Pandas, Power BI"
E-Commerce Procurement Executive,Lahore,120000.0,5.0,Mid,Full Time,Other,Not Specified,"Vendor Management, Negotiation Skills, Market Research, Data Analysis, E-commerce Platforms, Product Hunting, Product Sourcing"
Technical Recruitment Executive,Islamabad,125000.0,5.0,Mid,Full Time,Human Resources,Experienced Professional,"International Recruitment Skills, IT Recruitment, Technical Recruitment Skills, End To End Recruitment Skills, 360 Recruitment"
HR Specialist,Lahore,97500.0,3.0,Junior,Full Time,Human Resources,Experienced Professional,"Sourcing And Networking Skills, Employee Relations  Management, Communicating Skills, Payroll Management"
Content Creator,Islamabad,80000.0,2.783132530120482,Junior,Full Time,Creative Design,Experienced Professional,"Create Content Strategies, Content Blogging, Content Writing Skills"
Sales Associate,Lahore,40000.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Sales Management, Communication Skills, End to End Sales"
Assistant Manager Internal Audit,Other,90000.0,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Electrical Controls Knowledge, Audit Assignment Handling, IPPF"
Accounts Executive,Multan,82639.59731543624,5.0,Mid,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Financial Reconciliation, Financial Statements Management, Financial Analysis, Financial Accounting, Field Task Management"
Civil Engineer - Road,Lahore,75000.0,2.783132530120482,Junior,Full Time,Architects & Construction,Experienced Professional,"Communication Skills, AutoCAD, 3D Rendering"
Assistant Manager Washing,Other,90000.0,2.783132530120482,Junior,Full Time,Industrial Production,Experienced Professional,"Random Wash, Denim Merchandising, Production Knowledge"
Deputy Manager Quality Control - Washing,Other,137500.0,2.783132530120482,Junior,Full Time,Quality Control,Experienced Professional,"Quality Control Management, Shade Band Evaluation, Finishing Area Oversight"
QA Manager,Islamabad,70000.0,2.783132530120482,Junior,Full Time,Quality Assurance (Qa),Entry Level,"Problem Analysis Skills, Build Strong Team, Analytics Skills, Quality Control"
Quality Assurance Executive,Islamabad,50000.0,2.783132530120482,Junior,Full Time,Quality Assurance (Qa),Entry Level,"Data Quality Control, Quality Control, Communication Skills"
Admin / Admissions Officer,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Administration,Experienced Professional,"Student Engagement, Student Activities Handling, Student Development, Student Managements, Student Counseling, Personal Counselling, Admission  Management, Admission Handling, Admissions Counseling, Admin Operations Management, Students Data Handling, Student Affairs Handling, Student Management"
A / O Level Coordinator,Islamabad,90000.0,5.0,Mid,Full Time,"Teachers/Education, Training & Development",Experienced Professional,"Teacher Evaluation, Students Counseling, Coordination Skills, Academic Program Management, Concept Based Teaching"
Junior Technical Recruiter,Islamabad,65000.0,2.783132530120482,Junior,Full Time,Human Resources,Experienced Professional,"Recruitment  Management, International Recruitment Skills, IT Recruitment, Technical Recruitment Skills, 360 Recruitment"
Medical Scribe,Lahore,85000.0,1.0,Entry,Full Time,Health & Medicine,Entry Level,"Fluent in English, General Medical Knowledge, Medical Consultancy, Communication Skills, Medical Software Handling"
Graphic Designer / CAD Operator,Lahore,57500.0,3.0,Junior,Full Time,Creative Design,Experienced Professional,"Sketch Book Pro, Communication Skills, Digital Sketching, CorelDRAW"
